name,n_obs,n_outliers,n_samples,baseline_cm,rand_cm,unisel_cm,al_cm,al_unisel_cm,rand_n_selected_outliers,rand_n_selected_normals,unisel_n_selected_outliers,unisel_n_selected_normals,al_n_selected_outliers,al_n_selected_normals,al_unisel_n_selected_outliers,al_unisel_n_selected_normals
satimage-2,5803,71,10,"[[574, 0, 2, 5], [573, 1, 0, 7], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 2, 5], [574, 0, 1, 6], [574, 0, 1, 6], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 1, 6]]","[[574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 3, 4], [574, 0, 5, 2], [574, 0, 7, 0], [574, 0, 7, 0]]","[[574, 0, 2, 5], [574, 0, 4, 3], [574, 0, 4, 3], [574, 0, 6, 1], [574, 0, 3, 4], [574, 0, 2, 5], [574, 0, 2, 5], [574, 0, 1, 6], [574, 0, 4, 3], [574, 0, 3, 4]]","[[574, 0, 7, 0], [574, 0, 7, 0], [573, 1, 2, 5], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 7, 0]]","[[574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 2, 5], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 7, 0]]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[10, 10, 10, 10, 10, 10, 9, 9, 10, 10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 7, 10, 10, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 3, 0, 0, 0]","[10, 10, 10, 10, 10, 10, 7, 10, 10, 10]"
satimage-2,5803,71,50,[],"[[574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 3, 4], [574, 0, 7, 0], [574, 0, 3, 4], [574, 0, 0, 7], [574, 0, 7, 0], [574, 0, 6, 1]]","[[574, 0, 2, 5], [574, 0, 0, 7], [574, 0, 1, 6], [574, 0, 3, 4], [574, 0, 3, 4], [574, 0, 1, 6], [574, 0, 2, 5], [574, 0, 1, 6], [574, 0, 1, 6], [574, 0, 2, 5]]","[[574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 0, 7], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 1, 6], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 1, 6]]","[[574, 0, 2, 5], [573, 1, 0, 7], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 2, 5], [574, 0, 1, 6], [574, 0, 1, 6], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 1, 6]]","[0, 0, 0, 0, 2, 0, 1, 2, 1, 1]","[50, 50, 50, 50, 48, 50, 49, 48, 49, 49]","[3, 3, 3, 2, 3, 3, 3, 3, 3, 4]","[47, 47, 47, 48, 47, 47, 47, 47, 47, 46]","[0, 0, 15, 0, 0, 0, 13, 13, 14, 13]","[50, 50, 35, 50, 50, 50, 37, 37, 36, 37]","[13, 15, 14, 12, 13, 13, 13, 13, 14, 13]","[37, 35, 36, 38, 37, 37, 37, 37, 36, 37]"
satimage-2,5803,71,100,[],"[[574, 0, 7, 0], [574, 0, 7, 0], [573, 1, 1, 6], [574, 0, 2, 5], [574, 0, 3, 4], [574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 0, 7], [574, 0, 7, 0], [574, 0, 6, 1]]","[[574, 0, 2, 5], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 1, 6], [574, 0, 2, 5], [574, 0, 1, 6], [574, 0, 2, 5], [574, 0, 0, 7], [574, 0, 1, 6], [574, 0, 1, 6]]","[[574, 0, 7, 0], [574, 0, 7, 0], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 2, 5], [574, 0, 1, 6], [574, 0, 1, 6], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 1, 6]]","[[574, 0, 2, 5], [573, 1, 0, 7], [574, 0, 1, 6], [574, 0, 0, 7], [574, 0, 2, 5], [574, 0, 1, 6], [574, 0, 1, 6], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 1, 6]]","[0, 1, 2, 2, 2, 0, 1, 4, 1, 1]","[100, 99, 98, 98, 98, 100, 99, 96, 99, 99]","[4, 5, 6, 4, 5, 4, 5, 4, 5, 6]","[96, 95, 94, 96, 95, 96, 95, 96, 95, 94]","[0, 0, 21, 19, 19, 3, 20, 20, 21, 20]","[100, 100, 79, 81, 81, 97, 80, 80, 79, 80]","[19, 20, 20, 18, 21, 20, 23, 20, 20, 21]","[81, 80, 80, 82, 79, 80, 77, 80, 80, 79]"
satimage-2,5803,71,500,[],"[[574, 0, 2, 5], [574, 0, 2, 5], [574, 0, 0, 7], [574, 0, 1, 6], [573, 1, 1, 6], [574, 0, 2, 5], [574, 0, 2, 5], [574, 0, 0, 7], [573, 1, 1, 6], [574, 0, 3, 4]]","[[574, 0, 2, 5], [573, 1, 0, 7], [574, 0, 0, 7], [574, 0, 1, 6], [573, 1, 1, 6], [574, 0, 1, 6], [574, 0, 1, 6], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 1, 6]]","[[574, 0, 2, 5], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 2, 5], [574, 0, 1, 6], [574, 0, 1, 6], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 1, 6]]","[[574, 0, 2, 5], [573, 1, 0, 7], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 1, 6], [574, 0, 1, 6], [574, 0, 1, 6], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 1, 6]]","[4, 4, 5, 8, 4, 3, 4, 8, 7, 5]","[496, 496, 495, 492, 496, 497, 496, 492, 493, 495]","[29, 24, 27, 25, 24, 23, 31, 29, 27, 27]","[471, 476, 473, 475, 476, 477, 469, 471, 473, 473]","[51, 46, 43, 40, 40, 43, 45, 46, 43, 44]","[449, 454, 457, 460, 460, 457, 455, 454, 457, 456]","[46, 41, 44, 39, 47, 42, 43, 42, 40, 44]","[454, 459, 456, 461, 453, 458, 457, 458, 460, 456]"
satimage-2,5803,71,1000,[],"[[574, 0, 2, 5], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 1, 6], [574, 0, 1, 6], [574, 0, 2, 5], [574, 0, 2, 5], [574, 0, 0, 7], [574, 0, 1, 6], [574, 0, 1, 6]]","[[574, 0, 2, 5], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 0, 7], [573, 1, 2, 5], [574, 0, 1, 6], [574, 0, 1, 6], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 1, 6]]","[[574, 0, 2, 5], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 1, 6], [574, 0, 1, 6], [574, 0, 1, 6], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 1, 6]]","[[574, 0, 2, 5], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 2, 5], [574, 0, 1, 6], [574, 0, 1, 6], [574, 0, 0, 7], [574, 0, 0, 7], [574, 0, 1, 6]]","[8, 12, 11, 18, 11, 9, 10, 16, 9, 9]","[992, 988, 989, 982, 989, 991, 990, 984, 991, 991]","[40, 42, 41, 40, 38, 34, 40, 41, 38, 37]","[960, 958, 959, 960, 962, 966, 960, 959, 962, 963]","[47, 51, 46, 44, 47, 39, 49, 49, 47, 46]","[953, 949, 954, 956, 953, 961, 951, 951, 953, 954]","[49, 46, 49, 45, 50, 48, 48, 52, 50, 50]","[951, 954, 951, 955, 950, 952, 952, 948, 950, 950]"
