name,n_obs,n_outliers,n_samples,baseline_cm,rand_cm,unisel_cm,al_cm,al_unisel_cm,rand_n_selected_outliers,rand_n_selected_normals,unisel_n_selected_outliers,unisel_n_selected_normals,al_n_selected_outliers,al_n_selected_normals,al_unisel_n_selected_outliers,al_unisel_n_selected_normals
vowels,1456,50,10,"[[141, 0, 1, 4], [141, 0, 3, 2], [141, 0, 2, 3], [140, 1, 3, 2], [141, 0, 4, 1], [141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 0, 5]]","[[141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0]]","[[141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0]]","[[141, 0, 5, 0], [141, 0, 5, 0], [136, 5, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 4, 1], [141, 0, 5, 0], [141, 0, 5, 0], [140, 1, 4, 1]]","[[141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0]]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[10, 10, 10, 10, 10, 10, 10, 9, 10, 9]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 9, 10, 10, 10, 10]","[0, 1, 3, 0, 0, 0, 4, 3, 0, 3]","[10, 9, 7, 10, 10, 10, 6, 7, 10, 7]","[0, 1, 3, 0, 0, 0, 1, 0, 0, 2]","[10, 9, 7, 10, 10, 10, 9, 10, 10, 8]"
vowels,1456,50,50,[],"[[141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 4, 1], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0]]","[[141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 4, 1]]","[[141, 0, 5, 0], [141, 0, 3, 2], [141, 0, 4, 1], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 2, 3], [141, 0, 3, 2], [141, 0, 5, 0], [141, 0, 0, 5]]","[[141, 0, 5, 0], [140, 1, 4, 1], [141, 0, 4, 1], [140, 1, 3, 2], [141, 0, 3, 2], [140, 1, 5, 0], [141, 0, 4, 1], [141, 0, 5, 0], [141, 0, 2, 3], [141, 0, 0, 5]]","[2, 2, 5, 0, 0, 2, 1, 1, 1, 2]","[48, 48, 45, 50, 50, 48, 49, 49, 49, 48]","[2, 1, 2, 2, 2, 1, 2, 2, 2, 2]","[48, 49, 48, 48, 48, 49, 48, 48, 48, 48]","[0, 14, 14, 1, 0, 1, 13, 18, 0, 15]","[50, 36, 36, 49, 50, 49, 37, 32, 50, 35]","[0, 14, 14, 19, 17, 16, 12, 0, 17, 20]","[50, 36, 36, 31, 33, 34, 38, 50, 33, 30]"
vowels,1456,50,100,[],"[[141, 0, 4, 1], [141, 0, 5, 0], [141, 0, 4, 1], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0]]","[[141, 0, 4, 1], [141, 0, 5, 0], [141, 0, 3, 2], [141, 0, 5, 0], [141, 0, 5, 0], [140, 1, 4, 1], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 5, 0], [141, 0, 1, 4]]","[[141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 2, 3], [140, 1, 3, 2], [141, 0, 5, 0], [141, 0, 4, 1], [141, 0, 2, 3], [141, 0, 1, 4], [141, 0, 5, 0], [141, 0, 0, 5]]","[[141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 3, 2], [141, 0, 1, 4], [141, 0, 2, 3], [141, 0, 1, 4], [141, 0, 1, 4], [141, 0, 2, 3], [141, 0, 0, 5]]","[3, 3, 7, 1, 1, 2, 1, 3, 4, 3]","[97, 97, 93, 99, 99, 98, 99, 97, 96, 97]","[4, 5, 6, 6, 5, 8, 5, 6, 4, 6]","[96, 95, 94, 94, 95, 92, 95, 94, 96, 94]","[34, 28, 31, 31, 0, 18, 32, 32, 0, 32]","[66, 72, 69, 69, 100, 82, 68, 68, 100, 68]","[30, 33, 33, 31, 32, 34, 34, 32, 33, 34]","[70, 67, 67, 69, 68, 66, 66, 68, 67, 66]"
vowels,1456,50,500,[],"[[141, 0, 4, 1], [141, 0, 5, 0], [141, 0, 4, 1], [141, 0, 5, 0], [141, 0, 5, 0], [140, 1, 4, 1], [140, 1, 4, 1], [141, 0, 4, 1], [141, 0, 3, 2], [141, 0, 2, 3]]","[[141, 0, 1, 4], [141, 0, 3, 2], [141, 0, 2, 3], [140, 1, 3, 2], [141, 0, 4, 1], [141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 1, 4], [141, 0, 2, 3], [141, 0, 0, 5]]","[[141, 0, 2, 3], [141, 0, 3, 2], [141, 0, 3, 2], [141, 0, 3, 2], [141, 0, 4, 1], [141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 1, 4], [141, 0, 2, 3], [141, 0, 1, 4]]","[[141, 0, 1, 4], [141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 3, 2], [141, 0, 4, 1], [141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 1, 4]]","[17, 18, 19, 14, 14, 14, 12, 20, 17, 17]","[483, 482, 481, 486, 486, 486, 488, 480, 483, 483]","[38, 37, 36, 35, 39, 36, 36, 38, 38, 40]","[462, 463, 464, 465, 461, 464, 464, 462, 462, 460]","[45, 45, 45, 45, 45, 45, 45, 45, 45, 45]","[455, 455, 455, 455, 455, 455, 455, 455, 455, 455]","[45, 45, 45, 45, 44, 45, 45, 45, 45, 45]","[455, 455, 455, 455, 456, 455, 455, 455, 455, 455]"
vowels,1456,50,1000,[],"[[141, 0, 2, 3], [141, 0, 4, 1], [141, 0, 2, 3], [141, 0, 4, 1], [141, 0, 4, 1], [141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 0, 5]]","[[141, 0, 1, 4], [141, 0, 3, 2], [141, 0, 3, 2], [141, 0, 3, 2], [141, 0, 4, 1], [141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 1, 4], [141, 0, 2, 3], [141, 0, 0, 5]]","[[141, 0, 1, 4], [141, 0, 3, 2], [141, 0, 2, 3], [140, 1, 3, 2], [141, 0, 4, 1], [141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 1, 4], [141, 0, 2, 3], [141, 0, 0, 5]]","[[141, 0, 1, 4], [141, 0, 3, 2], [141, 0, 3, 2], [141, 0, 3, 2], [141, 0, 4, 1], [141, 0, 2, 3], [141, 0, 2, 3], [141, 0, 1, 4], [141, 0, 2, 3], [141, 0, 0, 5]]","[35, 34, 35, 34, 35, 38, 38, 37, 36, 37]","[965, 966, 965, 966, 965, 962, 962, 963, 964, 963]","[43, 41, 42, 41, 41, 41, 42, 42, 42, 42]","[957, 959, 958, 959, 959, 959, 958, 958, 958, 958]","[45, 45, 45, 45, 45, 45, 45, 45, 45, 45]","[955, 955, 955, 955, 955, 955, 955, 955, 955, 955]","[45, 45, 45, 45, 45, 45, 45, 45, 45, 45]","[955, 955, 955, 955, 955, 955, 955, 955, 955, 955]"
