name,n_obs,n_outliers,n_samples,baseline_cm,rand_cm,unisel_cm,al_cm,al_unisel_cm,rand_n_selected_outliers,rand_n_selected_normals,unisel_n_selected_outliers,unisel_n_selected_normals,al_n_selected_outliers,al_n_selected_normals,al_unisel_n_selected_outliers,al_unisel_n_selected_normals
smtp,95156,30,10,"[[9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 0, 3], [9513, 0, 0, 3], [9513, 0, 0, 3], [9513, 0, 0, 3], [9513, 0, 0, 3], [9513, 0, 1, 2], [9513, 0, 0, 3], [9513, 0, 1, 2]]","[[9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0]]","[[9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0]]","[[9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0]]","[[9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
smtp,95156,30,50,[],"[[9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0]]","[[9513, 0, 3, 0], [9512, 1, 1, 2], [9513, 0, 3, 0], [9513, 0, 2, 1], [9513, 0, 3, 0], [9513, 0, 0, 3], [9513, 0, 2, 1], [9513, 0, 2, 1], [9513, 0, 3, 0], [9513, 0, 2, 1]]","[[9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0]]","[[9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 0, 3], [9513, 0, 1, 2], [9513, 0, 0, 3], [9513, 0, 0, 3], [9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 2, 1]]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[50, 50, 50, 50, 50, 50, 50, 49, 50, 50]","[1, 2, 1, 1, 1, 2, 1, 1, 1, 2]","[49, 48, 49, 49, 49, 48, 49, 49, 49, 48]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]","[12, 13, 15, 14, 13, 14, 14, 12, 13, 15]","[38, 37, 35, 36, 37, 36, 36, 38, 37, 35]"
smtp,95156,30,100,[],"[[9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0]]","[[9513, 0, 3, 0], [9512, 1, 1, 2], [9513, 0, 2, 1], [9513, 0, 1, 2], [9513, 0, 3, 0], [9513, 0, 1, 2], [9513, 0, 2, 1], [9513, 0, 2, 1], [9513, 0, 3, 0], [9513, 0, 2, 1]]","[[9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0]]","[[9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 0, 3], [9513, 0, 1, 2], [9513, 0, 0, 3], [9513, 0, 0, 3], [9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 2, 1]]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 99, 100, 100]","[1, 2, 1, 2, 1, 2, 1, 1, 1, 2]","[99, 98, 99, 98, 99, 98, 99, 99, 99, 98]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[16, 17, 17, 17, 17, 16, 17, 17, 16, 18]","[84, 83, 83, 83, 83, 84, 83, 83, 84, 82]"
smtp,95156,30,500,[],"[[9513, 0, 2, 1], [9513, 0, 3, 0], [9513, 0, 2, 1], [9511, 2, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 2, 1]]","[[9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 0, 3], [9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 0, 3], [9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 2, 1]]","[[9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0]]","[[9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 0, 3], [9513, 0, 1, 2], [9513, 0, 0, 3], [9513, 0, 0, 3], [9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 2, 1]]","[1, 0, 1, 1, 0, 0, 0, 1, 0, 2]","[499, 500, 499, 499, 500, 500, 500, 499, 500, 498]","[5, 5, 6, 5, 6, 4, 5, 7, 6, 6]","[495, 495, 494, 495, 494, 496, 495, 493, 494, 494]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500]","[17, 15, 15, 16, 18, 16, 17, 17, 17, 17]","[483, 485, 485, 484, 482, 484, 483, 483, 483, 483]"
smtp,95156,30,1000,[],"[[9513, 0, 2, 1], [9513, 0, 3, 0], [9513, 0, 2, 1], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 2, 1]]","[[9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 0, 3], [9513, 0, 1, 2], [9513, 0, 0, 3], [9513, 0, 0, 3], [9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 2, 1]]","[[9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 2, 1], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 0, 3], [9513, 0, 3, 0], [9513, 0, 3, 0], [9513, 0, 1, 2], [9513, 0, 3, 0]]","[[9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 0, 3], [9513, 0, 1, 2], [9513, 0, 0, 3], [9513, 0, 0, 3], [9513, 0, 1, 2], [9513, 0, 1, 2], [9513, 0, 2, 1]]","[1, 0, 1, 1, 0, 0, 0, 1, 0, 2]","[999, 1000, 999, 999, 1000, 1000, 1000, 999, 1000, 998]","[6, 7, 7, 6, 7, 7, 7, 7, 6, 7]","[994, 993, 993, 994, 993, 993, 993, 993, 994, 993]","[0, 7, 6, 0, 0, 23, 0, 0, 18, 0]","[1000, 993, 994, 1000, 1000, 977, 1000, 1000, 982, 1000]","[17, 25, 16, 16, 17, 24, 16, 18, 15, 17]","[983, 975, 984, 984, 983, 976, 984, 982, 985, 983]"
