name,n_obs,n_outliers,n_samples,baseline_cm,rand_cm,unisel_cm,al_cm,al_unisel_cm,rand_n_selected_outliers,rand_n_selected_normals,unisel_n_selected_outliers,unisel_n_selected_normals,al_n_selected_outliers,al_n_selected_normals,al_unisel_n_selected_outliers,al_unisel_n_selected_normals
mammography,11183,260,10,"[[1091, 2, 17, 9], [1092, 1, 13, 13], [1091, 2, 7, 19], [1091, 2, 11, 15], [1091, 2, 6, 20], [1089, 4, 13, 13], [1091, 2, 10, 16], [1092, 1, 10, 16], [1090, 3, 10, 16], [1091, 2, 12, 14]]","[[1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0]]","[[1093, 0, 26, 0], [1093, 0, 25, 1], [1093, 0, 26, 0], [1093, 0, 23, 3], [1091, 2, 18, 8], [1093, 0, 24, 2], [1093, 0, 22, 4], [1093, 0, 20, 6], [1090, 3, 17, 9], [1093, 0, 18, 8]]","[[1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1082, 11, 12, 14], [1093, 0, 26, 0]]","[[1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1090, 3, 17, 9], [1093, 0, 26, 0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[1, 1, 0, 1, 1, 1, 1, 1, 2, 1]","[9, 9, 10, 9, 9, 9, 9, 9, 8, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0]","[10, 10, 10, 10, 10, 10, 10, 10, 8, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0]","[10, 10, 10, 10, 10, 10, 10, 10, 8, 10]"
mammography,11183,260,50,[],"[[1093, 0, 26, 0], [1091, 2, 23, 3], [1092, 1, 24, 2], [1093, 0, 26, 0], [1091, 2, 24, 2], [1093, 0, 23, 3], [1093, 0, 19, 7], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 25, 1]]","[[1091, 2, 24, 2], [1093, 0, 21, 5], [1092, 1, 22, 4], [1091, 2, 13, 13], [1093, 0, 18, 8], [1091, 2, 23, 3], [1088, 5, 14, 12], [1091, 2, 14, 12], [1093, 0, 22, 4], [1091, 2, 18, 8]]","[[1092, 1, 20, 6], [1092, 1, 15, 11], [1093, 0, 26, 0], [1090, 3, 14, 12], [1090, 3, 14, 12], [1091, 2, 18, 8], [1089, 4, 14, 12], [1085, 8, 11, 15], [1093, 0, 14, 12], [1092, 1, 12, 14]]","[[1089, 4, 20, 6], [1087, 6, 17, 9], [1089, 4, 12, 14], [1092, 1, 13, 13], [1091, 2, 15, 11], [1092, 1, 19, 7], [1091, 2, 15, 11], [1080, 13, 9, 17], [1092, 1, 14, 12], [1090, 3, 17, 9]]","[0, 2, 1, 0, 2, 2, 1, 1, 0, 1]","[50, 48, 49, 50, 48, 48, 49, 49, 50, 49]","[6, 8, 6, 7, 7, 6, 8, 8, 6, 5]","[44, 42, 44, 43, 43, 44, 42, 42, 44, 45]","[17, 14, 0, 14, 12, 14, 16, 14, 10, 13]","[33, 36, 50, 36, 38, 36, 34, 36, 40, 37]","[16, 15, 15, 17, 18, 17, 15, 15, 13, 12]","[34, 35, 35, 33, 32, 33, 35, 35, 37, 38]"
mammography,11183,260,100,[],"[[1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1093, 0, 26, 0], [1092, 1, 25, 1], [1092, 1, 19, 7], [1093, 0, 24, 2], [1093, 0, 26, 0], [1093, 0, 25, 1], [1093, 0, 23, 3]]","[[1091, 2, 24, 2], [1093, 0, 20, 6], [1092, 1, 17, 9], [1091, 2, 12, 14], [1092, 1, 17, 9], [1083, 10, 18, 8], [1092, 1, 14, 12], [1090, 3, 14, 12], [1087, 6, 13, 13], [1084, 9, 12, 14]]","[[1091, 2, 20, 6], [1092, 1, 17, 9], [1091, 2, 11, 15], [1090, 3, 14, 12], [1090, 3, 14, 12], [1092, 1, 17, 9], [1088, 5, 12, 14], [1092, 1, 11, 15], [1091, 2, 13, 13], [1092, 1, 13, 13]]","[[1090, 3, 17, 9], [1089, 4, 15, 11], [1089, 4, 15, 11], [1090, 3, 11, 15], [1090, 3, 10, 16], [1086, 7, 17, 9], [1093, 0, 14, 12], [1090, 3, 9, 17], [1091, 2, 11, 15], [1091, 2, 13, 13]]","[1, 2, 1, 0, 2, 4, 2, 2, 2, 2]","[99, 98, 99, 100, 98, 96, 98, 98, 98, 98]","[12, 13, 14, 12, 11, 13, 14, 12, 16, 15]","[88, 87, 86, 88, 89, 87, 86, 88, 84, 85]","[26, 26, 32, 32, 25, 30, 28, 30, 31, 28]","[74, 74, 68, 68, 75, 70, 72, 70, 69, 72]","[31, 33, 30, 32, 32, 34, 30, 33, 26, 32]","[69, 67, 70, 68, 68, 66, 70, 67, 74, 68]"
mammography,11183,260,500,[],"[[1092, 1, 21, 5], [1093, 0, 25, 1], [1090, 3, 24, 2], [1093, 0, 21, 5], [1093, 0, 24, 2], [1084, 9, 17, 9], [1092, 1, 16, 10], [1092, 1, 18, 8], [1092, 1, 12, 14], [1092, 1, 16, 10]]","[[1090, 3, 20, 6], [1093, 0, 16, 10], [1090, 3, 15, 11], [1091, 2, 14, 12], [1091, 2, 14, 12], [1089, 4, 18, 8], [1093, 0, 14, 12], [1089, 4, 10, 16], [1090, 3, 12, 14], [1091, 2, 12, 14]]","[[1091, 2, 17, 9], [1092, 1, 12, 14], [1090, 3, 6, 20], [1092, 1, 10, 16], [1092, 1, 7, 19], [1091, 2, 13, 13], [1091, 2, 8, 18], [1092, 1, 8, 18], [1091, 2, 8, 18], [1093, 0, 7, 19]]","[[1091, 2, 17, 9], [1092, 1, 14, 12], [1091, 2, 6, 20], [1092, 1, 10, 16], [1092, 1, 7, 19], [1089, 4, 13, 13], [1091, 2, 10, 16], [1090, 3, 8, 18], [1091, 2, 9, 17], [1092, 1, 7, 19]]","[8, 10, 11, 6, 5, 17, 12, 8, 17, 12]","[492, 490, 489, 494, 495, 483, 488, 492, 483, 488]","[55, 48, 47, 45, 51, 51, 48, 51, 55, 51]","[445, 452, 453, 455, 449, 449, 452, 449, 445, 449]","[117, 119, 119, 117, 124, 124, 111, 118, 120, 121]","[383, 381, 381, 383, 376, 376, 389, 382, 380, 379]","[130, 131, 133, 129, 135, 138, 130, 129, 132, 129]","[370, 369, 367, 371, 365, 362, 370, 371, 368, 371]"
mammography,11183,260,1000,[],"[[1092, 1, 20, 6], [1093, 0, 24, 2], [1090, 3, 8, 18], [1091, 2, 15, 11], [1093, 0, 18, 8], [1087, 6, 13, 13], [1092, 1, 17, 9], [1092, 1, 15, 11], [1091, 2, 13, 13], [1092, 1, 14, 12]]","[[1091, 2, 19, 7], [1092, 1, 15, 11], [1088, 5, 10, 16], [1091, 2, 12, 14], [1093, 0, 8, 18], [1089, 4, 17, 9], [1091, 2, 13, 13], [1091, 2, 11, 15], [1089, 4, 11, 15], [1091, 2, 10, 16]]","[[1091, 2, 17, 9], [1092, 1, 12, 14], [1091, 2, 6, 20], [1092, 1, 11, 15], [1090, 3, 6, 20], [1091, 2, 13, 13], [1091, 2, 10, 16], [1091, 2, 8, 18], [1092, 1, 10, 16], [1092, 1, 9, 17]]","[[1091, 2, 17, 9], [1092, 1, 14, 12], [1091, 2, 7, 19], [1091, 2, 10, 16], [1090, 3, 7, 19], [1090, 3, 13, 13], [1091, 2, 10, 16], [1092, 1, 9, 17], [1093, 0, 10, 16], [1091, 2, 8, 18]]","[23, 18, 24, 15, 16, 30, 20, 19, 26, 27]","[977, 982, 976, 985, 984, 970, 980, 981, 974, 973]","[81, 80, 83, 81, 79, 81, 82, 80, 80, 75]","[919, 920, 917, 919, 921, 919, 918, 920, 920, 925]","[167, 164, 166, 168, 168, 170, 167, 168, 167, 162]","[833, 836, 834, 832, 832, 830, 833, 832, 833, 838]","[176, 177, 178, 176, 178, 180, 176, 180, 176, 177]","[824, 823, 822, 824, 822, 820, 824, 820, 824, 823]"
