name,n_obs,n_outliers,n_samples,baseline_cm,rand_cm,unisel_cm,al_cm,al_unisel_cm,rand_n_selected_outliers,rand_n_selected_normals,unisel_n_selected_outliers,unisel_n_selected_normals,al_n_selected_outliers,al_n_selected_normals,al_unisel_n_selected_outliers,al_unisel_n_selected_normals
thyroid,3772,93,10,"[[368, 1, 0, 9], [367, 2, 1, 8], [369, 0, 0, 9], [369, 0, 2, 7], [369, 0, 3, 6], [369, 0, 2, 7], [368, 1, 0, 9], [367, 2, 0, 9], [368, 1, 3, 6], [368, 1, 1, 8]]","[[369, 0, 9, 0], [369, 0, 9, 0], [369, 0, 9, 0], [369, 0, 9, 0], [369, 0, 9, 0], [369, 0, 9, 0], [369, 0, 9, 0], [368, 1, 4, 5], [369, 0, 8, 1], [369, 0, 9, 0]]","[[369, 0, 9, 0], [365, 4, 0, 9], [369, 0, 7, 2], [369, 0, 9, 0], [369, 0, 8, 1], [369, 0, 9, 0], [367, 2, 5, 4], [367, 2, 3, 6], [368, 1, 2, 7], [369, 0, 9, 0]]","[[369, 0, 9, 0], [369, 0, 9, 0], [369, 0, 9, 0], [368, 1, 3, 6], [369, 0, 9, 0], [369, 0, 9, 0], [366, 3, 1, 8], [369, 0, 9, 0], [369, 0, 9, 0], [368, 1, 3, 6]]","[[369, 0, 0, 9], [369, 0, 6, 3], [369, 0, 4, 5], [369, 0, 5, 4], [369, 0, 7, 2], [369, 0, 6, 3], [363, 6, 0, 9], [365, 4, 1, 8], [366, 3, 0, 9], [367, 2, 1, 8]]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[10, 10, 10, 10, 10, 10, 10, 9, 9, 10]","[1, 3, 1, 1, 1, 1, 2, 2, 2, 1]","[9, 7, 9, 9, 9, 9, 8, 8, 8, 9]","[0, 0, 0, 4, 0, 0, 4, 0, 0, 1]","[10, 10, 10, 6, 10, 10, 6, 10, 10, 9]","[5, 4, 3, 5, 3, 4, 4, 4, 4, 4]","[5, 6, 7, 5, 7, 6, 6, 6, 6, 6]"
thyroid,3772,93,50,[],"[[369, 0, 9, 0], [366, 3, 0, 9], [369, 0, 9, 0], [369, 0, 9, 0], [368, 1, 5, 4], [369, 0, 6, 3], [367, 2, 3, 6], [367, 2, 3, 6], [369, 0, 9, 0], [369, 0, 9, 0]]","[[369, 0, 5, 4], [363, 6, 0, 9], [366, 3, 1, 8], [368, 1, 5, 4], [369, 0, 6, 3], [368, 1, 4, 5], [367, 2, 3, 6], [367, 2, 3, 6], [364, 5, 1, 8], [367, 2, 0, 9]]","[[368, 1, 0, 9], [369, 0, 9, 0], [369, 0, 0, 9], [369, 0, 2, 7], [369, 0, 1, 8], [369, 0, 9, 0], [368, 1, 0, 9], [367, 2, 0, 9], [368, 1, 0, 9], [368, 1, 0, 9]]","[[368, 1, 0, 9], [367, 2, 1, 8], [369, 0, 2, 7], [369, 0, 2, 7], [369, 0, 0, 9], [368, 1, 0, 9], [368, 1, 0, 9], [367, 2, 0, 9], [368, 1, 1, 8], [368, 1, 0, 9]]","[0, 1, 1, 0, 2, 1, 2, 3, 1, 0]","[50, 49, 49, 50, 48, 49, 48, 47, 49, 50]","[5, 7, 6, 4, 4, 5, 5, 4, 6, 5]","[45, 43, 44, 46, 46, 45, 45, 46, 44, 45]","[18, 0, 17, 15, 14, 0, 13, 13, 16, 17]","[32, 50, 33, 35, 36, 50, 37, 37, 34, 33]","[17, 17, 18, 17, 17, 16, 15, 17, 15, 16]","[33, 33, 32, 33, 33, 34, 35, 33, 35, 34]"
thyroid,3772,93,100,[],"[[369, 0, 8, 1], [365, 4, 1, 8], [369, 0, 8, 1], [369, 0, 8, 1], [369, 0, 5, 4], [369, 0, 8, 1], [368, 1, 5, 4], [367, 2, 3, 6], [368, 1, 2, 7], [369, 0, 9, 0]]","[[368, 1, 1, 8], [368, 1, 1, 8], [369, 0, 2, 7], [369, 0, 4, 5], [369, 0, 4, 5], [369, 0, 2, 7], [368, 1, 1, 8], [368, 1, 3, 6], [368, 1, 3, 6], [368, 1, 2, 7]]","[[368, 1, 0, 9], [368, 1, 1, 8], [369, 0, 0, 9], [369, 0, 2, 7], [369, 0, 1, 8], [369, 0, 9, 0], [368, 1, 0, 9], [367, 2, 0, 9], [368, 1, 1, 8], [368, 1, 1, 8]]","[[368, 1, 0, 9], [367, 2, 1, 8], [369, 0, 0, 9], [369, 0, 1, 8], [369, 0, 1, 8], [368, 1, 0, 9], [368, 1, 0, 9], [367, 2, 0, 9], [368, 1, 1, 8], [368, 1, 1, 8]]","[1, 2, 2, 2, 3, 1, 2, 4, 3, 0]","[99, 98, 98, 98, 97, 99, 98, 96, 97, 100]","[12, 10, 12, 10, 10, 9, 12, 8, 10, 10]","[88, 90, 88, 90, 90, 91, 88, 92, 90, 90]","[25, 24, 25, 26, 26, 0, 27, 25, 28, 25]","[75, 76, 75, 74, 74, 100, 73, 75, 72, 75]","[33, 30, 28, 26, 30, 25, 30, 28, 28, 32]","[67, 70, 72, 74, 70, 75, 70, 72, 72, 68]"
thyroid,3772,93,500,[],"[[369, 0, 2, 7], [366, 3, 2, 7], [369, 0, 2, 7], [369, 0, 5, 4], [369, 0, 5, 4], [369, 0, 2, 7], [368, 1, 2, 7], [368, 1, 3, 6], [368, 1, 3, 6], [368, 1, 3, 6]]","[[369, 0, 0, 9], [368, 1, 1, 8], [369, 0, 0, 9], [369, 0, 3, 6], [369, 0, 4, 5], [369, 0, 2, 7], [368, 1, 0, 9], [367, 2, 2, 7], [368, 1, 3, 6], [368, 1, 1, 8]]","[[368, 1, 0, 9], [367, 2, 1, 8], [369, 0, 0, 9], [369, 0, 2, 7], [369, 0, 3, 6], [369, 0, 0, 9], [368, 1, 0, 9], [367, 2, 1, 8], [368, 1, 2, 7], [368, 1, 0, 9]]","[[368, 1, 0, 9], [368, 1, 1, 8], [369, 0, 0, 9], [369, 0, 2, 7], [369, 0, 2, 7], [369, 0, 0, 9], [368, 1, 0, 9], [367, 2, 0, 9], [368, 1, 2, 7], [368, 1, 1, 8]]","[6, 10, 11, 11, 8, 13, 10, 15, 10, 12]","[494, 490, 489, 489, 492, 487, 490, 485, 490, 488]","[48, 49, 55, 51, 46, 46, 50, 48, 45, 46]","[452, 451, 445, 449, 454, 454, 450, 452, 455, 454]","[75, 76, 79, 76, 65, 62, 74, 69, 68, 74]","[425, 424, 421, 424, 435, 438, 426, 431, 432, 426]","[80, 72, 83, 78, 78, 83, 75, 74, 71, 79]","[420, 428, 417, 422, 422, 417, 425, 426, 429, 421]"
thyroid,3772,93,1000,[],"[[369, 0, 0, 9], [366, 3, 1, 8], [367, 2, 1, 8], [369, 0, 4, 5], [369, 0, 4, 5], [369, 0, 1, 8], [368, 1, 1, 8], [368, 1, 3, 6], [368, 1, 3, 6], [368, 1, 3, 6]]","[[369, 0, 1, 8], [368, 1, 1, 8], [369, 0, 0, 9], [369, 0, 4, 5], [369, 0, 2, 7], [369, 0, 0, 9], [368, 1, 1, 8], [367, 2, 2, 7], [368, 1, 2, 7], [368, 1, 1, 8]]","[[368, 1, 0, 9], [368, 1, 0, 9], [369, 0, 0, 9], [369, 0, 2, 7], [369, 0, 3, 6], [369, 0, 2, 7], [368, 1, 0, 9], [367, 2, 0, 9], [368, 1, 2, 7], [368, 1, 1, 8]]","[[368, 1, 0, 9], [367, 2, 1, 8], [369, 0, 0, 9], [369, 0, 2, 7], [369, 0, 4, 5], [369, 0, 2, 7], [368, 1, 0, 9], [367, 2, 0, 9], [368, 1, 2, 7], [368, 1, 1, 8]]","[17, 19, 24, 22, 23, 21, 23, 21, 20, 22]","[983, 981, 976, 978, 977, 979, 977, 979, 980, 978]","[70, 74, 72, 71, 73, 76, 72, 70, 71, 73]","[930, 926, 928, 929, 927, 924, 928, 930, 929, 927]","[83, 79, 79, 82, 73, 81, 69, 78, 74, 82]","[917, 921, 921, 918, 927, 919, 931, 922, 926, 918]","[81, 82, 82, 81, 82, 83, 79, 78, 79, 81]","[919, 918, 918, 919, 918, 917, 921, 922, 921, 919]"
