name,n_obs,n_outliers,n_samples,baseline_cm,rand_cm,unisel_cm,al_cm,al_unisel_cm,rand_n_selected_outliers,rand_n_selected_normals,unisel_n_selected_outliers,unisel_n_selected_normals,al_n_selected_outliers,al_n_selected_normals,al_unisel_n_selected_outliers,al_unisel_n_selected_normals
cover,286048,2747,10,"[[28325, 5, 2, 273], [28329, 1, 2, 273], [28328, 2, 5, 270], [28328, 2, 5, 270], [28330, 0, 2, 273], [28329, 1, 0, 275], [28329, 1, 1, 274], [28330, 0, 2, 273], [28327, 3, 4, 271], [28330, 0, 1, 274]]","[[28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0]]","[[28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0]]","[[28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0]]","[[28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
cover,286048,2747,50,[],"[[28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28328, 2, 257, 18], [28330, 0, 274, 1], [28330, 0, 238, 37], [28330, 0, 275, 0], [28330, 0, 275, 0]]","[[28326, 4, 229, 46], [28330, 0, 222, 53], [28330, 0, 241, 34], [28330, 0, 275, 0], [28330, 0, 254, 21], [28330, 0, 260, 15], [28330, 0, 251, 24], [28330, 0, 216, 59], [28330, 0, 275, 0], [28330, 0, 232, 43]]","[[28330, 0, 275, 0], [28330, 0, 275, 0], [28321, 9, 39, 236], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28318, 12, 13, 262]]","[[28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0], [28330, 0, 275, 0]]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]","[50, 50, 50, 50, 50, 49, 49, 49, 49, 50]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[49, 49, 49, 49, 49, 49, 49, 49, 50, 49]","[0, 0, 17, 0, 0, 0, 0, 0, 0, 17]","[50, 50, 33, 50, 50, 50, 50, 50, 50, 33]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]"
cover,286048,2747,100,[],"[[28330, 0, 275, 0], [28330, 0, 269, 6], [28330, 0, 272, 3], [28330, 0, 249, 26], [28330, 0, 208, 67], [28327, 3, 191, 84], [28329, 1, 250, 25], [28330, 0, 265, 10], [28327, 3, 267, 8], [28330, 0, 275, 0]]","[[28310, 20, 140, 135], [28323, 7, 177, 98], [28320, 10, 125, 150], [28318, 12, 158, 117], [28325, 5, 151, 124], [28326, 4, 113, 162], [28309, 21, 55, 220], [28323, 7, 98, 177], [28327, 3, 145, 130], [28325, 5, 171, 104]]","[[28330, 0, 275, 0], [28317, 13, 12, 263], [28327, 3, 17, 258], [28319, 11, 26, 249], [28330, 0, 275, 0], [28327, 3, 19, 256], [28330, 0, 275, 0], [28299, 31, 20, 255], [28320, 10, 11, 264], [28325, 5, 12, 263]]","[[28318, 12, 10, 265], [28320, 10, 9, 266], [28321, 9, 10, 265], [28324, 6, 16, 259], [28329, 1, 11, 264], [28327, 3, 10, 265], [28297, 33, 5, 270], [28321, 9, 7, 268], [28330, 0, 275, 0], [28327, 3, 9, 266]]","[0, 1, 1, 2, 2, 2, 2, 1, 2, 0]","[100, 99, 99, 98, 98, 98, 98, 99, 98, 100]","[2, 2, 2, 2, 2, 2, 3, 2, 2, 2]","[98, 98, 98, 98, 98, 98, 97, 98, 98, 98]","[0, 30, 32, 36, 0, 32, 0, 15, 32, 32]","[100, 70, 68, 64, 100, 68, 100, 85, 68, 68]","[32, 30, 31, 31, 25, 31, 30, 31, 0, 30]","[68, 70, 69, 69, 75, 69, 70, 69, 100, 70]"
cover,286048,2747,500,[],"[[28291, 39, 58, 217], [28330, 0, 245, 30], [28270, 60, 10, 265], [28304, 26, 36, 239], [28287, 43, 61, 214], [28329, 1, 154, 121], [28323, 7, 120, 155], [28330, 0, 212, 63], [28323, 7, 102, 173], [28330, 0, 218, 57]]","[[28269, 61, 9, 266], [28325, 5, 40, 235], [28315, 15, 34, 241], [28297, 33, 20, 255], [28313, 17, 52, 223], [28310, 20, 25, 250], [28320, 10, 25, 250], [28321, 9, 26, 249], [28315, 15, 41, 234], [28271, 59, 10, 265]]","[[28329, 1, 2, 273], [28329, 1, 1, 274], [28329, 1, 3, 272], [28329, 1, 3, 272], [28330, 0, 2, 273], [28329, 1, 1, 274], [28330, 0, 2, 273], [28330, 0, 1, 274], [28328, 2, 2, 273], [28330, 0, 1, 274]]","[[28328, 2, 2, 273], [28329, 1, 0, 275], [28329, 1, 3, 272], [28328, 2, 4, 271], [28329, 1, 1, 274], [28329, 1, 0, 275], [28330, 0, 2, 273], [28330, 0, 1, 274], [28329, 1, 1, 274], [28330, 0, 2, 273]]","[4, 3, 8, 6, 7, 5, 6, 4, 4, 2]","[496, 497, 492, 494, 493, 495, 494, 496, 496, 498]","[11, 9, 8, 10, 8, 9, 10, 8, 9, 10]","[489, 491, 492, 490, 492, 491, 490, 492, 491, 490]","[143, 132, 137, 144, 142, 142, 138, 135, 141, 143]","[357, 368, 363, 356, 358, 358, 362, 365, 359, 357]","[137, 139, 135, 138, 136, 137, 133, 139, 137, 141]","[363, 361, 365, 362, 364, 363, 367, 361, 363, 359]"
cover,286048,2747,1000,[],"[[28289, 41, 17, 258], [28329, 1, 90, 185], [28326, 4, 44, 231], [28313, 17, 61, 214], [28292, 38, 52, 223], [28330, 0, 158, 117], [28326, 4, 114, 161], [28323, 7, 110, 165], [28289, 41, 31, 244], [28287, 43, 36, 239]]","[[28312, 18, 31, 244], [28290, 40, 15, 260], [28320, 10, 37, 238], [28320, 10, 19, 256], [28302, 28, 26, 249], [28314, 16, 6, 269], [28313, 17, 15, 260], [28327, 3, 35, 240], [28314, 16, 8, 267], [28302, 28, 9, 266]]","[[28328, 2, 1, 274], [28329, 1, 1, 274], [28330, 0, 3, 272], [28329, 1, 3, 272], [28330, 0, 2, 273], [28329, 1, 0, 275], [28329, 1, 1, 274], [28330, 0, 1, 274], [28328, 2, 2, 273], [28330, 0, 1, 274]]","[[28328, 2, 1, 274], [28329, 1, 1, 274], [28327, 3, 3, 272], [28328, 2, 4, 271], [28329, 1, 2, 273], [28329, 1, 0, 275], [28330, 0, 1, 274], [28330, 0, 2, 273], [28328, 2, 2, 273], [28330, 0, 1, 274]]","[9, 6, 8, 10, 12, 6, 7, 10, 12, 7]","[991, 994, 992, 990, 988, 994, 993, 990, 988, 993]","[17, 19, 16, 16, 17, 19, 17, 14, 17, 20]","[983, 981, 984, 984, 983, 981, 983, 986, 983, 980]","[266, 264, 264, 268, 261, 259, 262, 265, 266, 266]","[734, 736, 736, 732, 739, 741, 738, 735, 734, 734]","[258, 258, 257, 259, 259, 261, 259, 263, 257, 263]","[742, 742, 743, 741, 741, 739, 741, 737, 743, 737]"
