name,n_obs,n_outliers,n_samples,baseline_cm,rand_cm,unisel_cm,al_cm,al_unisel_cm,rand_n_selected_outliers,rand_n_selected_normals,unisel_n_selected_outliers,unisel_n_selected_normals,al_n_selected_outliers,al_n_selected_normals,al_unisel_n_selected_outliers,al_unisel_n_selected_normals
pendigits,6870,156,10,"[[671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 1, 15], [671, 0, 0, 16], [671, 0, 0, 16]]","[[671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [655, 16, 5, 11], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [669, 2, 15, 1], [671, 0, 16, 0]]","[[671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 11, 5], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0]]","[[669, 2, 6, 10], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0]]","[[671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0]]","[0, 0, 0, 2, 0, 0, 0, 0, 1, 0]","[10, 10, 10, 8, 10, 10, 10, 10, 9, 10]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 9, 10, 10, 10, 10, 10]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
pendigits,6870,156,50,[],"[[671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 14, 2], [671, 0, 8, 8], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 14, 2], [671, 0, 15, 1]]","[[671, 0, 7, 9], [671, 0, 4, 12], [671, 0, 11, 5], [671, 0, 14, 2], [671, 0, 15, 1], [671, 0, 7, 9], [671, 0, 9, 7], [671, 0, 11, 5], [671, 0, 9, 7], [671, 0, 13, 3]]","[[671, 0, 1, 15], [671, 0, 6, 10], [671, 0, 13, 3], [671, 0, 2, 14], [671, 0, 3, 13], [671, 0, 3, 13], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 1, 15]]","[[671, 0, 1, 15], [671, 0, 3, 13], [671, 0, 2, 14], [671, 0, 2, 14], [671, 0, 1, 15], [670, 1, 3, 13], [670, 1, 0, 16], [671, 0, 3, 13], [671, 0, 1, 15], [671, 0, 0, 16]]","[0, 0, 1, 3, 0, 1, 1, 0, 2, 1]","[50, 50, 49, 47, 50, 49, 49, 50, 48, 49]","[3, 3, 2, 2, 2, 3, 3, 4, 3, 2]","[47, 47, 48, 48, 48, 47, 47, 46, 47, 48]","[18, 8, 2, 18, 10, 18, 0, 0, 0, 15]","[32, 42, 48, 32, 40, 32, 50, 50, 50, 35]","[17, 19, 18, 20, 16, 18, 19, 20, 18, 19]","[33, 31, 32, 30, 34, 32, 31, 30, 32, 31]"
pendigits,6870,156,100,[],"[[671, 0, 16, 0], [671, 0, 16, 0], [671, 0, 14, 2], [671, 0, 6, 10], [671, 0, 11, 5], [671, 0, 16, 0], [671, 0, 14, 2], [671, 0, 16, 0], [671, 0, 11, 5], [671, 0, 16, 0]]","[[671, 0, 9, 7], [671, 0, 11, 5], [671, 0, 7, 9], [671, 0, 10, 6], [671, 0, 11, 5], [671, 0, 11, 5], [671, 0, 14, 2], [671, 0, 15, 1], [671, 0, 7, 9], [671, 0, 5, 11]]","[[671, 0, 0, 16], [671, 0, 1, 15], [671, 0, 2, 14], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 14, 2], [671, 0, 3, 13], [671, 0, 1, 15]]","[[671, 0, 0, 16], [671, 0, 1, 15], [671, 0, 1, 15], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 1, 15], [671, 0, 0, 16], [671, 0, 1, 15]]","[1, 1, 3, 6, 2, 1, 3, 0, 4, 2]","[99, 99, 97, 94, 98, 99, 97, 100, 96, 98]","[4, 3, 6, 4, 3, 3, 2, 3, 4, 5]","[96, 97, 94, 96, 97, 97, 98, 97, 96, 95]","[34, 25, 19, 28, 26, 34, 26, 2, 11, 29]","[66, 75, 81, 72, 74, 66, 74, 98, 89, 71]","[31, 30, 30, 30, 33, 30, 30, 29, 29, 28]","[69, 70, 70, 70, 67, 70, 70, 71, 71, 72]"
pendigits,6870,156,500,[],"[[671, 0, 5, 11], [671, 0, 4, 12], [670, 1, 3, 13], [671, 0, 2, 14], [671, 0, 4, 12], [671, 0, 2, 14], [670, 1, 2, 14], [671, 0, 6, 10], [671, 0, 5, 11], [670, 1, 1, 15]]","[[671, 0, 1, 15], [671, 0, 3, 13], [671, 0, 2, 14], [671, 0, 3, 13], [671, 0, 2, 14], [671, 0, 3, 13], [671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 2, 14], [669, 2, 1, 15]]","[[671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 1, 15], [670, 1, 0, 16]]","[[671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 1, 15], [671, 0, 0, 16], [671, 0, 0, 16]]","[10, 10, 11, 17, 17, 13, 12, 9, 16, 14]","[490, 490, 489, 483, 483, 487, 488, 491, 484, 486]","[21, 22, 21, 18, 20, 21, 18, 20, 19, 23]","[479, 478, 479, 482, 480, 479, 482, 480, 481, 477]","[88, 84, 86, 88, 87, 90, 85, 92, 87, 87]","[412, 416, 414, 412, 413, 410, 415, 408, 413, 413]","[90, 88, 86, 87, 85, 84, 92, 90, 86, 91]","[410, 412, 414, 413, 415, 416, 408, 410, 414, 409]"
pendigits,6870,156,1000,[],"[[671, 0, 4, 12], [671, 0, 3, 13], [671, 0, 2, 14], [671, 0, 2, 14], [671, 0, 1, 15], [671, 0, 3, 13], [671, 0, 3, 13], [671, 0, 4, 12], [671, 0, 1, 15], [670, 1, 0, 16]]","[[671, 0, 0, 16], [671, 0, 3, 13], [671, 0, 1, 15], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 1, 15], [671, 0, 1, 15], [670, 1, 0, 16]]","[[671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 1, 15], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 0, 16]]","[[671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 1, 15], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 2, 14], [671, 0, 0, 16], [671, 0, 0, 16]]","[22, 23, 20, 26, 29, 21, 22, 21, 30, 24]","[978, 977, 980, 974, 971, 979, 978, 979, 970, 976]","[37, 38, 38, 37, 39, 37, 39, 39, 39, 36]","[963, 962, 962, 963, 961, 963, 961, 961, 961, 964]","[118, 116, 123, 114, 119, 120, 121, 112, 117, 119]","[882, 884, 877, 886, 881, 880, 879, 888, 883, 881]","[118, 118, 118, 115, 120, 122, 118, 124, 122, 122]","[882, 882, 882, 885, 880, 878, 882, 876, 878, 878]"
