name,n_obs,n_outliers,n_samples,baseline_cm,rand_cm,unisel_cm,al_cm,al_unisel_cm,rand_n_selected_outliers,rand_n_selected_normals,unisel_n_selected_outliers,unisel_n_selected_normals,al_n_selected_outliers,al_n_selected_normals,al_unisel_n_selected_outliers,al_unisel_n_selected_normals
musk,3062,97,10,"[[297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10]]","[[297, 0, 10, 0], [297, 0, 10, 0], [297, 0, 10, 0], [297, 0, 10, 0], [297, 0, 7, 3], [297, 0, 10, 0], [297, 0, 10, 0], [297, 0, 5, 5], [297, 0, 10, 0], [297, 0, 10, 0]]","[[297, 0, 6, 4], [297, 0, 8, 2], [297, 0, 10, 0], [297, 0, 10, 0], [297, 0, 8, 2], [297, 0, 5, 5], [297, 0, 9, 1], [297, 0, 6, 4], [297, 0, 9, 1], [297, 0, 9, 1]]","[[297, 0, 0, 10], [297, 0, 5, 5], [297, 0, 0, 10], [297, 0, 10, 0], [297, 0, 10, 0], [297, 0, 10, 0], [297, 0, 10, 0], [297, 0, 0, 10], [297, 0, 10, 0], [297, 0, 10, 0]]","[[297, 0, 0, 10], [297, 0, 6, 4], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 10, 0], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 10, 0], [297, 0, 0, 10], [297, 0, 0, 10]]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]","[10, 10, 10, 10, 9, 10, 10, 9, 10, 10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]","[4, 2, 3, 0, 0, 0, 0, 4, 0, 0]","[6, 8, 7, 10, 10, 10, 10, 6, 10, 10]","[4, 2, 4, 4, 0, 4, 4, 0, 4, 4]","[6, 8, 6, 6, 10, 6, 6, 10, 6, 6]"
musk,3062,97,50,[],"[[297, 0, 6, 4], [297, 0, 9, 1], [297, 0, 10, 0], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 10, 0], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 10, 0]]","[[297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10]]","[[297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 10, 0], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 2, 8]]","[[297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10]]","[1, 1, 0, 2, 3, 0, 3, 2, 2, 0]","[49, 49, 50, 48, 47, 50, 47, 48, 48, 50]","[5, 5, 2, 4, 3, 4, 5, 5, 4, 4]","[45, 45, 48, 46, 47, 46, 45, 45, 46, 46]","[12, 10, 15, 10, 11, 11, 0, 13, 8, 2]","[38, 40, 35, 40, 39, 39, 50, 37, 42, 48]","[13, 13, 12, 11, 10, 11, 11, 14, 12, 12]","[37, 37, 38, 39, 40, 39, 39, 36, 38, 38]"
musk,3062,97,100,[],"[[297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 4, 6]]","[[297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10]]","[[297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10]]","[[297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10]]","[3, 5, 2, 2, 4, 2, 4, 3, 3, 1]","[97, 95, 98, 98, 96, 98, 96, 97, 97, 99]","[9, 6, 9, 9, 6, 8, 5, 7, 7, 7]","[91, 94, 91, 91, 94, 92, 95, 93, 93, 93]","[22, 19, 16, 16, 21, 21, 7, 22, 17, 14]","[78, 81, 84, 84, 79, 79, 93, 78, 83, 86]","[22, 18, 23, 19, 19, 20, 20, 21, 18, 18]","[78, 82, 77, 81, 81, 80, 80, 79, 82, 82]"
musk,3062,97,500,[],"[[297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10]]","[[297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10]]","[[297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10]]","[[297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10]]","[19, 17, 19, 18, 16, 16, 19, 14, 13, 17]","[481, 483, 481, 482, 484, 484, 481, 486, 487, 483]","[23, 22, 25, 20, 25, 23, 25, 22, 27, 23]","[477, 478, 475, 480, 475, 477, 475, 478, 473, 477]","[28, 26, 29, 24, 25, 25, 31, 35, 27, 24]","[472, 474, 471, 476, 475, 475, 469, 465, 473, 476]","[26, 31, 28, 29, 32, 25, 31, 29, 31, 31]","[474, 469, 472, 471, 468, 475, 469, 471, 469, 469]"
musk,3062,97,1000,[],"[[297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10]]","[[297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10]]","[[297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10]]","[[297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10], [297, 0, 0, 10]]","[34, 32, 37, 36, 29, 31, 31, 29, 34, 25]","[966, 968, 963, 964, 971, 969, 969, 971, 966, 975]","[34, 34, 35, 33, 33, 33, 35, 35, 35, 35]","[966, 966, 965, 967, 967, 967, 965, 965, 965, 965]","[37, 39, 43, 33, 34, 34, 41, 35, 37, 36]","[963, 961, 957, 967, 966, 966, 959, 965, 963, 964]","[39, 45, 40, 33, 49, 45, 42, 41, 49, 43]","[961, 955, 960, 967, 951, 955, 958, 959, 951, 957]"
