name,n_obs,n_outliers,n_samples,baseline_cm,rand_cm,unisel_cm,al_cm,al_unisel_cm,rand_n_selected_outliers,rand_n_selected_normals,unisel_n_selected_outliers,unisel_n_selected_normals,al_n_selected_outliers,al_n_selected_normals,al_unisel_n_selected_outliers,al_unisel_n_selected_normals
http,567498,2211,10,"[[56529, 0, 1, 220], [56529, 0, 2, 219], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 2, 219], [56529, 0, 1, 220], [56529, 0, 0, 221], [56529, 0, 1, 220], [56529, 0, 0, 221], [56529, 0, 2, 219]]","[[56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0]]","[[56529, 0, 8, 213], [56529, 0, 5, 216], [56529, 0, 6, 215], [56528, 1, 6, 215], [56529, 0, 12, 209], [56529, 0, 11, 210], [56529, 0, 5, 216], [56529, 0, 10, 211], [56529, 0, 5, 216], [56529, 0, 12, 209]]","[[56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 1, 220], [56529, 0, 221, 0], [56529, 0, 221, 0]]","[[56528, 1, 1, 220], [56529, 0, 2, 219], [56527, 2, 1, 220], [56529, 0, 0, 221], [56529, 0, 3, 218], [56529, 0, 1, 220], [56528, 1, 0, 221], [56529, 0, 2, 219], [56528, 1, 1, 220], [56528, 1, 2, 219]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[10, 10, 10, 10, 10, 10, 10, 7, 10, 10]","[5, 4, 4, 4, 4, 3, 4, 4, 4, 5]","[5, 6, 6, 6, 6, 7, 6, 6, 6, 5]"
http,567498,2211,50,[],"[[56529, 0, 7, 214], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 9, 212], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 6, 215], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0]]","[[56529, 0, 7, 214], [56529, 0, 5, 216], [56529, 0, 4, 217], [56529, 0, 9, 212], [56529, 0, 9, 212], [56529, 0, 6, 215], [56529, 0, 6, 215], [56529, 0, 10, 211], [56529, 0, 5, 216], [56529, 0, 12, 209]]","[[56529, 0, 1, 220], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 1, 220], [56529, 0, 221, 0], [56529, 0, 221, 0]]","[[56529, 0, 1, 220], [56529, 0, 1, 220], [56529, 0, 1, 220], [56529, 0, 0, 221], [56529, 0, 2, 219], [56529, 0, 1, 220], [56529, 0, 0, 221], [56529, 0, 1, 220], [56529, 0, 1, 220], [56529, 0, 2, 219]]","[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]","[49, 50, 50, 49, 50, 50, 49, 50, 50, 50]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[48, 48, 48, 48, 48, 48, 48, 48, 48, 48]","[10, 0, 0, 0, 0, 0, 0, 12, 0, 0]","[40, 50, 50, 50, 50, 50, 50, 38, 50, 50]","[11, 12, 13, 15, 14, 12, 15, 11, 16, 13]","[39, 38, 37, 35, 36, 38, 35, 39, 34, 37]"
http,567498,2211,100,[],"[[56529, 0, 8, 213], [56528, 1, 3, 218], [56529, 0, 221, 0], [56529, 0, 9, 212], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 6, 215], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0]]","[[56529, 0, 7, 214], [56529, 0, 5, 216], [56529, 0, 4, 217], [56529, 0, 9, 212], [56529, 0, 9, 212], [56529, 0, 6, 215], [56529, 0, 6, 215], [56529, 0, 10, 211], [56529, 0, 5, 216], [56529, 0, 12, 209]]","[[56529, 0, 0, 221], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 1, 220], [56529, 0, 7, 214], [56529, 0, 221, 0]]","[[56529, 0, 0, 221], [56529, 0, 1, 220], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 1, 220], [56529, 0, 2, 219]]","[1, 1, 0, 1, 0, 0, 1, 0, 0, 0]","[99, 99, 100, 99, 100, 100, 99, 100, 100, 100]","[2, 2, 2, 2, 2, 3, 2, 3, 2, 2]","[98, 98, 98, 98, 98, 97, 98, 97, 98, 98]","[21, 0, 0, 0, 0, 0, 0, 18, 1, 0]","[79, 100, 100, 100, 100, 100, 100, 82, 99, 100]","[21, 18, 19, 20, 20, 18, 23, 18, 20, 21]","[79, 82, 81, 80, 80, 82, 77, 82, 80, 79]"
http,567498,2211,500,[],"[[56529, 0, 7, 214], [56529, 0, 219, 2], [56529, 0, 4, 217], [56529, 0, 0, 221], [56529, 0, 12, 209], [56529, 0, 221, 0], [56529, 0, 6, 215], [56529, 0, 10, 211], [56529, 0, 4, 217], [56529, 0, 221, 0]]","[[56529, 0, 1, 220], [56529, 0, 1, 220], [56529, 0, 1, 220], [56529, 0, 0, 221], [56526, 3, 1, 220], [56529, 0, 1, 220], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 2, 219]]","[[56529, 0, 1, 220], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 221, 0], [56529, 0, 0, 221], [56529, 0, 1, 220], [56529, 0, 1, 220], [56529, 0, 2, 219]]","[[56529, 0, 0, 221], [56529, 0, 2, 219], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 1, 220], [56529, 0, 1, 220], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 1, 220], [56529, 0, 2, 219]]","[2, 1, 3, 3, 2, 0, 2, 2, 2, 0]","[498, 499, 497, 497, 498, 500, 498, 498, 498, 500]","[13, 13, 14, 13, 12, 12, 12, 13, 13, 11]","[487, 487, 486, 487, 488, 488, 488, 487, 487, 489]","[59, 0, 0, 0, 0, 0, 23, 55, 48, 50]","[441, 500, 500, 500, 500, 500, 477, 445, 452, 450]","[57, 53, 58, 54, 52, 52, 54, 51, 61, 56]","[443, 447, 442, 446, 448, 448, 446, 449, 439, 444]"
http,567498,2211,1000,[],"[[56529, 0, 7, 214], [56527, 2, 2, 219], [56529, 0, 4, 217], [56529, 0, 9, 212], [56529, 0, 9, 212], [56529, 0, 221, 0], [56526, 3, 2, 219], [56527, 2, 2, 219], [56529, 0, 4, 217], [56527, 2, 3, 218]]","[[56529, 0, 0, 221], [56529, 0, 2, 219], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 2, 219], [56529, 0, 1, 220], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 2, 219]]","[[56529, 0, 1, 220], [56529, 0, 1, 220], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 1, 220], [56529, 0, 221, 0], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 2, 219]]","[[56529, 0, 1, 220], [56529, 0, 2, 219], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 0, 221], [56529, 0, 1, 220], [56529, 0, 0, 221], [56529, 0, 1, 220], [56529, 0, 1, 220], [56529, 0, 2, 219]]","[3, 4, 4, 3, 4, 0, 5, 5, 4, 5]","[997, 996, 996, 997, 996, 1000, 995, 995, 996, 995]","[20, 18, 21, 21, 19, 19, 20, 20, 20, 20]","[980, 982, 979, 979, 981, 981, 980, 980, 980, 980]","[61, 31, 54, 54, 36, 0, 59, 64, 59, 60]","[939, 969, 946, 946, 964, 1000, 941, 936, 941, 940]","[63, 59, 59, 60, 52, 60, 69, 59, 61, 54]","[937, 941, 941, 940, 948, 940, 931, 941, 939, 946]"
